# Cross sections for Co
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Co  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
 111.5000000       1.21436e-19       1.21436e-19
 111.6000000       1.21985e-19       1.21985e-19
 111.7000000       1.22534e-19       1.22534e-19
 111.8000000       1.23083e-19       1.23083e-19
 111.9000000       1.23632e-19       1.23632e-19
 112.0000000       1.24181e-19       1.24181e-19
 112.1000000       1.24730e-19       1.24730e-19
 112.2000000       1.25279e-19       1.25279e-19
 112.3000000       1.25828e-19       1.25828e-19
 112.4000000       1.26377e-19       1.26377e-19
 112.5000000       1.26926e-19       1.26926e-19
 112.6000000       1.27475e-19       1.27475e-19
 112.7000000       1.28024e-19       1.28024e-19
 112.8000000       1.28573e-19       1.28573e-19
 112.9000000       1.29122e-19       1.29122e-19
 113.0000000       1.29671e-19       1.29671e-19
 113.1000000       1.30220e-19       1.30220e-19
 113.2000000       1.30769e-19       1.30769e-19
 113.3000000       1.31317e-19       1.31317e-19
 113.4000000       1.31866e-19       1.31866e-19
 113.5000000       1.32415e-19       1.32415e-19
 113.6000000       1.32964e-19       1.32964e-19
 113.7000000       1.33513e-19       1.33513e-19
 113.8000000       1.34062e-19       1.34062e-19
 113.9000000       1.34611e-19       1.34611e-19
 114.0000000       1.35160e-19       1.35160e-19
 114.1000000       1.35709e-19       1.35709e-19
 114.2000000       1.36258e-19       1.36258e-19
 114.3000000       1.36807e-19       1.36807e-19
 114.4000000       1.37356e-19       1.37356e-19
 114.5000000       1.37905e-19       1.37905e-19
 114.6000000       1.38454e-19       1.38454e-19
 114.7000000       1.39003e-19       1.39003e-19
 114.8000000       1.39552e-19       1.39552e-19
 114.9000000       1.40101e-19       1.40101e-19
 115.0000000       1.40650e-19       1.40650e-19
 115.1000000       1.41199e-19       1.41199e-19
 115.2000000       1.41747e-19       1.41747e-19
 115.3000000       1.42296e-19       1.42296e-19
 115.4000000       1.42845e-19       1.42845e-19
 115.5000000       1.43394e-19       1.43394e-19
 115.6000000       1.43943e-19       1.43943e-19
 115.7000000       1.44492e-19       1.44492e-19
 115.8000000       1.45041e-19       1.45041e-19
 115.9000000       1.45590e-19       1.45590e-19
 116.0000000       1.46139e-19       1.46139e-19
 116.1000000       1.46688e-19       1.46688e-19
 116.2000000       1.47237e-19       1.47237e-19
 116.3000000       1.47786e-19       1.47786e-19
 116.4000000       1.48335e-19       1.48335e-19
 116.5000000       1.48884e-19       1.48884e-19
 116.6000000       1.49433e-19       1.49433e-19
 116.7000000       1.49982e-19       1.49982e-19
 116.8000000       1.50531e-19       1.50531e-19
 116.9000000       1.51080e-19       1.51080e-19
 117.0000000       1.51629e-19       1.51629e-19
 117.1000000       1.52177e-19       1.52177e-19
 117.2000000       1.52726e-19       1.52726e-19
 117.3000000       1.53275e-19       1.53275e-19
 117.4000000       1.53824e-19       1.53824e-19
 117.5000000       1.54373e-19       1.54373e-19
 117.6000000       1.54922e-19       1.54922e-19
 117.7000000       1.55471e-19       1.55471e-19
 117.8000000       1.56020e-19       1.56020e-19
 117.9000000       1.56569e-19       1.56569e-19
 118.0000000       1.57118e-19       1.57118e-19
 118.1000000       1.57667e-19       1.57667e-19
 118.2000000       1.58216e-19       1.58216e-19
 118.3000000       1.58765e-19       1.58765e-19
 118.4000000       1.59314e-19       1.59314e-19
 118.5000000       1.59863e-19       1.59863e-19
 118.6000000       1.60412e-19       1.60412e-19
 118.7000000       1.60961e-19       1.60961e-19
 118.8000000       1.61510e-19       1.61510e-19
 118.9000000       1.62059e-19       1.62059e-19
 119.0000000       1.62608e-19       1.62608e-19
 119.1000000       1.63156e-19       1.63156e-19
 119.2000000       1.63705e-19       1.63705e-19
 119.3000000       1.64254e-19       1.64254e-19
 119.4000000       1.64803e-19       1.64803e-19
 119.5000000       1.65352e-19       1.65352e-19
 119.6000000       1.65901e-19       1.65901e-19
 119.7000000       1.66450e-19       1.66450e-19
 119.8000000       1.66999e-19       1.66999e-19
 119.9000000       1.67548e-19       1.67548e-19
 120.0000000       1.68097e-19       1.68097e-19
 120.1000000       1.68646e-19       1.68646e-19
 120.2000000       1.69195e-19       1.69195e-19
 120.3000000       1.69744e-19       1.69744e-19
 120.4000000       1.70293e-19       1.70293e-19
 120.5000000       1.70842e-19       1.70842e-19
 120.6000000       1.71391e-19       1.71391e-19
 120.7000000       1.71940e-19       1.71940e-19
 120.8000000       1.72489e-19       1.72489e-19
 120.9000000       1.73038e-19       1.73038e-19
 121.0000000       1.73586e-19       1.73586e-19
 121.1000000       1.74135e-19       1.74135e-19
 121.2000000       1.74684e-19       1.74684e-19
 121.3000000       1.75233e-19       1.75233e-19
 121.4000000       1.75782e-19       1.75782e-19
 121.5000000       1.76331e-19       1.76331e-19
 121.6000000       1.76880e-19       1.76880e-19
 121.7000000       1.77429e-19       1.77429e-19
 121.8000000       1.77978e-19       1.77978e-19
 121.9000000       1.78527e-19       1.78527e-19
 122.0000000       1.79076e-19       1.79076e-19
 122.1000000       1.79625e-19       1.79625e-19
 122.2000000       1.80174e-19       1.80174e-19
 122.3000000       1.80723e-19       1.80723e-19
 122.4000000       1.81272e-19       1.81272e-19
 122.5000000       1.81821e-19       1.81821e-19
 122.6000000       1.82370e-19       1.82370e-19
 122.7000000       1.82919e-19       1.82919e-19
 122.8000000       1.83468e-19       1.83468e-19
 122.9000000       1.84016e-19       1.84016e-19
 123.0000000       1.84565e-19       1.84565e-19
 123.1000000       1.85114e-19       1.85114e-19
 123.2000000       1.85663e-19       1.85663e-19
 123.3000000       1.86212e-19       1.86212e-19
 123.4000000       1.86761e-19       1.86761e-19
 123.5000000       1.87310e-19       1.87310e-19
 123.6000000       1.87859e-19       1.87859e-19
 123.7000000       1.88408e-19       1.88408e-19
 123.8000000       1.88957e-19       1.88957e-19
 123.9000000       1.89506e-19       1.89506e-19
 124.0000000       1.90382e-19       1.90382e-19
 124.1000000       1.92604e-19       1.92604e-19
 124.2000000       1.94972e-19       1.94972e-19
 124.3000000       1.97339e-19       1.97339e-19
 124.4000000       1.99707e-19       1.99707e-19
 124.5000000       2.02074e-19       2.02074e-19
 124.6000000       2.04442e-19       2.04442e-19
 124.7000000       2.06809e-19       2.06809e-19
 124.8000000       2.09176e-19       2.09176e-19
 124.9000000       2.11544e-19       2.11544e-19
 125.0000000       2.13911e-19       2.13911e-19
 125.1000000       2.16279e-19       2.16279e-19
 125.2000000       2.18646e-19       2.18646e-19
 125.3000000       2.21014e-19       2.21014e-19
 125.4000000       2.23381e-19       2.23381e-19
 125.5000000       2.25749e-19       2.25749e-19
 125.6000000       2.28116e-19       2.28116e-19
 125.7000000       2.30484e-19       2.30484e-19
 125.8000000       2.32851e-19       2.32851e-19
 125.9000000       2.35219e-19       2.35219e-19
 126.0000000       2.37586e-19       2.37586e-19
 126.1000000       2.39954e-19       2.39954e-19
 126.2000000       2.42321e-19       2.42321e-19
 126.3000000       2.44688e-19       2.44688e-19
 126.4000000       2.47056e-19       2.47056e-19
 126.5000000       2.49423e-19       2.49423e-19
 126.6000000       2.51791e-19       2.51791e-19
 126.7000000       2.54158e-19       2.54158e-19
 126.8000000       2.56526e-19       2.56526e-19
 126.9000000       2.58893e-19       2.58893e-19
 127.0000000       2.61261e-19       2.61261e-19
 127.1000000       2.63628e-19       2.63628e-19
 127.2000000       2.65996e-19       2.65996e-19
 127.3000000       2.68363e-19       2.68363e-19
 127.4000000       2.70731e-19       2.70731e-19
 127.5000000       2.73098e-19       2.73098e-19
 127.6000000       2.75466e-19       2.75466e-19
 127.7000000       2.77833e-19       2.77833e-19
